Key,File,Type,english


perkPaintingPosters0Name,progression,perk  book,Paintings & Posters
perkPaintingPosters0Desc,progression,perk  book,"If you've ever wanted to learn how to create paintings or posters, this is your collection! Find all seven volumes to learn different artstyles and gain the ability to craft an assortment of artwork that you can put up for display."


perkPaintingClassicalDesc,progression,perk  book,"You can now craft 5 new paintings!"
perkPaintingClassicalLongDesc,progression,perk  book,"Reading volume 1 of Paintings & Posters teaches you about the classical style of artwork. Once read, you will be able to craft five new paintings."

perkPaintingAcrylicDesc,progression,perk  book,"You can now craft 5 new paintings!"
perkPaintingAcrylicLongDesc,progression,perk  book,"Reading volume 2 of Paintings & Posters teaches you about the acrylic style of artwork. Once read, you will be able to craft five new paintings."

perkPaintingImpressionismDesc,progression,perk  book,"You can now craft 5 new paintings!"
perkPaintingImpressionismLongDesc,progression,perk  book,"Reading volume 3 of Paintings & Posters teaches you about the impressionism style of artwork. Once read, you will be able to craft five new paintings."

perkPaintingCreepyDesc,progression,perk  book,"You can now craft 5 new paintings!"
perkPaintingCreepyLongDesc,progression,perk  book,"Reading volume 4 of Paintings & Posters teaches you about the creepier styles of artwork. Once read, you will be able to craft five new paintings."

perkPostersHorrorDesc,progression,perk  book,"You can now craft 5 new posters!"
perkPostersHorrorLongDesc,progression,perk  book,"Reading volume 5 of Paintings & Posters teaches you about horror movies. Once read, you will be able to craft five new posters."

perkPostersMonsterHorrorDesc,progression,perk  book,"You can now craft 5 new posters!"
perkPostersMonsterHorrorLongDesc,progression,perk  book,"Reading volume 6 of Paintings & Posters teaches you about the monsterverse. Once read, you will be able to craft five new paintings."

perkPostersAliensDesc,progression,perk  book,"You can now craft 5 new posters!"
perkPostersAliensLongDesc,progression,perk  book,"Reading volume 7 of Paintings & Posters teaches you about scifi worlds like the Aliens franchise. Once read, you will be able to craft five new paintings."

perkPaintingPostersCompleteDesc,progression,perk  book,"You can now craft all 40 paintings and posters!"
perkPaintingPostersCompleteLongDesc,progression,perk  book,"Reading all volumes of Paintings & Posters has taught you about fantasies, horror and fascinating artstyles. You can now craft all paintings and posters, in addition to secret paintings as well!"


bookPaintingsClassical,items,perk  book,Paintings & Posters Vol 1
bookPaintingsAcrylic,items,perk  book,Paintings & Posters Vol 2
bookPaintingsImpressionism,items,perk  book,Paintings & Posters Vol 3
bookPaintingsCreepy,items,perk  book,Paintings & Posters Vol 4
bookPostersHorror,items,perk  book,Paintings & Posters Vol 5
bookPostersMonsterHorror,items,perk  book,Paintings & Posters Vol 6
bookPostersAliens,items,perk  book,Paintings & Posters Vol 7
PaintingPostersCompleteName,items,perk  book,Completed Paintings & Posters


firstFivePaintings,blocks,Variant,Paintings I
firstFivePaintingsDesc,blocks,Block,Five paintings to remind you of a time before zombies!
secondFivePaintings,blocks,Variant,Paintings II
secondFivePaintingsDesc,blocks,Block,Five paintings to remind you of a time before zombies!
thirdFivePaintings,blocks,Variant,Paintings III
thirdFivePaintingsDesc,blocks,Block,Five paintings to remind you of a time before zombies!
fourthFivePaintings,blocks,Variant,Paintings IV
fourthFivePaintingsDesc,blocks,Block,Five paintings to remind you of a time before zombies!
firstFivePosters,blocks,Variant,Posters I
