key,source,context,changes,english
useSwitchLightOff,UI,Menu,New,Turn Off
useSwitchLightOn,UI,Menu,New,Turn On
HN Kitchen Blocks,blocks,Variant,New,Kitchen Cabinets/Sinks
HNKitchenBlocksDesc,blocks,Block,New,Kitchen cabinets and sinks for the zombie apocalypse!
HN Kitchen Appliances,blocks,Variant,New,Kitchen Appliances
HNKitchenAppliancesDesc,blocks,Block,New,Kitchen appliances that somehow work in the zombie apocalypse, who knew!
HN Decor,blocks,Variant,New,Decor
HNDecorDesc,blocks,Block,New,Decorations even for the zombie apocalypse!
HN Tables/Chairs,blocks,Variant,New,Tables/Chairs
HNTables/ChairsDesc,blocks,Block,New,Tables and chairs for the zombies apocalypse!
HN Sofa Blocks,blocks,Variant,New,Sofa Furniture
HNSofaBlocksDesc,Block,Variant,New,Sofa furniture for the zombie apocalypse!
HN Bedroom Blocks/Racks,blocks,Variant,New,Bedroom Furniture
HNBedroomBlocks/RacksDesc,blocks,Block,New,Bedroom furniture for the zombie apocalypse!
HN Electronics,blocks,Variant,New,Electronics
HNElectronicsDesc,blocks,Block,New,Electronics that somehow work in the zombie apocalypse, who knew!
HN Lights,blocks,Variant,New,Lights
HNLightsDesc,blocks,Block,New,New fancy lights that somehow work in the zombie apocalypse, who knew!
HN Bathroom Blocks,blocks,Variant,New,Bathroom Furniture/Amenities
HNBathroomBlocksDesc,blocks,Block,New,Bathroom furniture and amenities for the zombie apocalypse!
HN Pool/Outdoor Furniture,blocks,Variant,New,Pool/Outdoor Furniture
HNPool/OutdoorFurnitureDesc,blocks,Block,New,Even the zombie apocalypse deserves pools!
HN Doors,blocks,Variant,New,Wooden Doors
HNDoorsDesc,blocks,Block,New,Wooden doors for the zombie apocalypse!
HN Windows/Glass Doors,blocks,Variant,New,Windows/Glass Doors
HNWindows/GlassDoorsDesc,blocks,Block,New,Windows and glass doors for the zombie apocalypse!
HN Kitchen Cooktop,blocks,Variant,New,Small Kitchen Cooktop
HN Cooktop,blocks,Variant,New,Big Kitchen Cooktop
HN Cooker Top,blocks,Variant,New,Cooker Top
HN Cooker Top Chimney,blocks,Variant,New,Cooker Top Chimney
HN Gas Stove,blocks,Variant,New,Gas Stove
HN Wall Oven,blocks,Variant,New,Wall Oven
HN Coffee Maker,blocks,Variant,New,Coffee Maker
HN Microwave Black,blocks,Variant,New,Microwave
HN Toaster,blocks,Variant,New,Toaster
HN Fridge New,blocks,Variant,New,Fridge
HN Bathroom Double Shower Door,blocks,Variant,New,Shower Double Doors
HN Bathroom ShowerGlass 1x1,blocks,Variant,New,Shower Glass
HN Bathroom ShowerGlass 2x1,blocks,Variant,New,Shower Glass
HN Bathroom Towel,blocks,Variant,New,Towel
HN Bathroom Toilet Paper,blocks,Variant,New,Toilet Paper
HN Bathroom Shower,blocks,Variant,New,Shower Head
HN Bathroom Cabinet 1,blocks,Variant,New,Cabinet
HN Bathroom Cabinet 2,blocks,Variant,New,Shelf
HN Bathroom Cabinet 3,blocks,Variant,New,Cabinet
ZTBathroomCabinetRebuild,blocks,Variant,New,Shelf
ZTBathroomSinkRebuild,blocks,Variant,New,Small Bathroom Sink
HN Bathroom Sink 2,blocks,Variant,New,Bathroom Sink
HN Bathroom Bathtub,blocks,Variant,New,Bathtub
HN Bathroom Bathtub White,blocks,Variant,New,Bathtub
HN Bathroom Accessories,blocks,Variant,New,Toiletries
HN Bed Large 2X2.5,blocks,Variant,New,Large Bed
HN Bed Small 1X2.5,blocks,Variant,New,Small Bed
ZTHangingLightRebuild,blocks,Variant,New,Hanging Light
ZTNightTableBackLampRebuild,blocks,Variant,New,Nighttable Back Lamp
ZTNightTableLampRebuild,blocks,Variant,New,Nighttable Lamp
ZTLampRebuild,blocks,Variant,New,Floor Lamp
ZTSLampRebuild,blocks,Variant,New,Small Lamp
ZTCeilingLampRebuild,blocks,Variant,New,Ceiling Light
HN Ceiling Lamp Metal Top,blocks,Variant,New,Ceiling Lamp Extender
ZTSCeilingLampRebuild,blocks,Variant,New,Ceiling Lamp
HN Nighttable,blocks,Variant,New,Nighttable
HN NightStand,blocks,Variant,New,Night Stand
HN Bedroom Mirror 2X1,blocks,Variant,New,Bedroom Mirror
HN Toy Teddy Bear,blocks,Variant,New,Teddy Bear
HN Rack 1,blocks,Variant,New,Shelf
HN Rack 2,blocks,Variant,New,Shelf
HN Rack 3,blocks,Variant,New,Shelf
HN Rack 4,blocks,Variant,New,Shelf
HN Rack 5,blocks,Variant,New,Shelf
HN Rack 6,blocks,Variant,New,Shelf
HN Rack 7,blocks,Variant,New,Shelf
HN Rack 8,blocks,Variant,New,Shelf
HN Rack Modular 1,blocks,Variant,New,Shelf
HN Rack Modular 2,blocks,Variant,New,Shelf
HN Sink Clear Wood,blocks,Variant,New,Kitchen Sink
HN Sink White Wood,blocks,Variant,New,Kitchen Sink
HN Sink,blocks,Variant,New,Kitchen Sink
HN Sink Dark Wood,blocks,Variant,New,Kitchen Sink
HN Painting 1,blocks,Variant,New,Painting
HN Painting 2,blocks,Variant,New,Painting
HN Painting 3,blocks,Variant,New,Painting
HN Painting 4,blocks,Variant,New,Painting
HN Painting 5,blocks,Variant,New,Painting
HN Painting 6,blocks,Variant,New,Painting
ZTSmallTVRebuild,blocks,Variant,New,Small TV Set
ZTLargeTVRebuild,blocks,Variant,New,Large TV Set
ZTLargeMountedTV,blocks,Variant,New,Mounted TV
ZTSmallMountedTV,blocks,Variant,New,Mounted TV
